evaporation_rate,ants,runs,successes,steps_mean,steps_std,time_mean_s,time_std_s
0.5,70,10,10,1118.1,99.02575422585782,19.964936113357545,1.6015904949982298
0.526263,70,10,10,1121,74.02702209328699,19.41314387321472,1.3472165580646316
0.552526,70,10,10,1102.4,99.85010988699233,19.10237772464752,1.7284190277338336
0.578789,70,10,10,1167.1,136.13102348677012,20.42331509590149,2.235125500543314
0.605053,70,10,10,1135.8,77.42494573599792,20.560894799232482,1.5316885454461044
0.631316,70,10,10,1176.4,124.81025598884092,20.899118781089783,1.7393128426652356
0.657579,70,10,10,1119.2,114.27432879795104,21.114305424690247,2.0614267146548393
0.683842,70,10,10,1134.9,121.8199491052266,24.599015092849733,5.427379003836918
0.710105,70,10,10,1170.8,128.4417723674385,22.208822011947632,4.903276101662466
0.736368,70,10,10,1158.4,118.46724816964768,20.681311082839965,2.178168169738274
0.762632,70,10,10,1085.7,138.97805582177352,20.005691862106325,2.827917897240433
0.788895,70,10,10,1088,123.80271043523688,18.8746502161026,2.328789426341466
0.815158,70,10,10,1053,128.41945162457108,19.685738301277162,3.1616977646640554
0.841421,70,10,10,977.5,144.23688078219723,18.84808838367462,3.2300742676042344
0.867684,70,10,10,984.2,94.82123531502143,16.895948505401613,1.5546408876261955
0.893947,70,10,10,898,145.6639969244288,16.27809796333313,2.4825149832048856
0.920211,70,10,10,862.6,168.8610210926265,15.117593550682068,2.79050369377414
0.946474,70,10,10,910.2,154.36738285301365,15.872373270988465,2.545472033229518
0.972737,70,10,10,862.8,124.00967704175348,15.479876160621643,2.0968040694807146
0.999,70,10,10,840.6,187.73633993804538,12.373514080047608,5.3414079856925225
