cheater_pct,smart_ants,cheater_ants,steps,time_s,throughput,success,food_removed,food_collected,total_food,run
0.0,100,0,849,19.393128633499146,43.778392648490005,True,75,63,100,1
0.0,100,0,666,18.190967082977295,36.611577436321575,True,75,57,100,2
0.0,100,0,712,19.446658611297607,36.61297368517391,True,75,50,100,3
0.0,100,0,1039,28.27504301071167,36.746186366768285,True,75,67,100,4
0.0,100,0,800,21.640998601913452,36.96687083234993,True,75,59,100,5
0.0,100,0,499,13.853901863098145,36.018733561925835,True,75,60,100,6
0.0,100,0,690,17.89710831642151,38.55371425376522,True,75,65,100,7
0.0,100,0,829,22.48859715461731,36.863126423596924,True,75,64,100,8
0.0,100,0,699,19.13746428489685,36.52521512746314,True,75,70,100,9
0.0,100,0,821,22.348907947540283,36.735575712564476,True,75,62,100,10
10.0,90,10,462,18.518280267715454,24.948320973705382,True,75,58,100,1
10.0,90,10,394,13.508174657821655,29.16752336866341,True,75,52,100,2
10.0,90,10,429,13.449090242385864,31.898068365098244,True,75,59,100,3
10.0,90,10,479,15.160382270812988,31.595509364046745,True,75,63,100,4
10.0,90,10,395,12.643847942352295,31.240489588370767,True,75,52,100,5
10.0,90,10,469,14.804218292236328,31.680159718122663,True,75,62,100,6
10.0,90,10,442,14.77087688446045,29.92374816047662,True,75,62,100,7
10.0,90,10,454,14.674225807189941,30.93859982565849,True,75,63,100,8
10.0,90,10,442,14.028510808944702,31.507264457334767,True,75,59,100,9
10.0,90,10,506,15.645827531814575,32.340890820321796,True,75,64,100,10
20.0,80,20,394,14.04791522026062,28.046866301681057,True,75,58,100,1
20.0,80,20,432,14.77931809425354,29.230036003350467,True,75,63,100,2
20.0,80,20,437,15.661284685134888,27.90320262901448,True,75,62,100,3
20.0,80,20,412,14.2919762134552,28.827363959094896,True,75,58,100,4
20.0,80,20,429,15.196227312088013,28.230691157057585,True,75,59,100,5
20.0,80,20,427,14.781262159347534,28.887925496265495,True,75,61,100,6
20.0,80,20,404,14.119609355926514,28.612689615979107,True,75,54,100,7
20.0,80,20,433,14.860806703567505,29.13704542675018,True,75,60,100,8
20.0,80,20,421,14.294315099716187,29.452268056435873,True,75,58,100,9
20.0,80,20,430,15.098952293395996,28.478797180389403,True,76,63,100,10
30.0,70,30,387,14.825139284133911,26.104307864019415,True,75,54,100,1
30.0,70,30,381,14.399437189102173,26.459367473636373,True,75,53,100,2
30.0,70,30,381,14.640077590942383,26.024452236217623,True,75,53,100,3
30.0,70,30,369,14.089969396591187,26.188843255349646,True,75,54,100,4
30.0,70,30,384,13.752483367919922,27.92222973312204,True,75,54,100,5
30.0,70,30,388,14.878143072128296,26.07852324843232,True,75,55,100,6
30.0,70,30,387,14.817389965057373,26.117960107186903,True,76,56,100,7
30.0,70,30,385,15.436611890792847,24.94070607745427,True,75,56,100,8
30.0,70,30,382,14.730296611785889,25.932946909864473,True,75,54,100,9
30.0,70,30,370,13.852370262145996,26.710230307017504,True,77,56,100,10
40.0,60,40,346,13.991623878479004,24.729080984816527,True,76,50,100,1
40.0,60,40,347,14.59276795387268,23.77890206277911,True,75,51,100,2
40.0,60,40,342,14.108095407485962,24.241401133318803,True,75,50,100,3
40.0,60,40,350,14.223157167434692,24.607757326999042,True,75,51,100,4
40.0,60,40,346,14.224340677261353,24.324501771326826,True,75,52,100,5
40.0,60,40,342,13.992345809936523,24.44193451516415,True,75,50,100,6
40.0,60,40,360,15.069955348968506,23.888591018595218,True,75,51,100,7
40.0,60,40,358,15.348838806152344,23.324239997653844,True,75,54,100,8
40.0,60,40,346,13.90371584892273,24.88543377609435,True,75,50,100,9
40.0,60,40,349,8.061934471130371,43.28985819095431,True,75,50,100,10
50.0,50,50,338,8.204046964645386,41.19917907059541,True,76,51,100,1
50.0,50,50,332,8.36497163772583,39.68931568191907,True,75,50,100,2
50.0,50,50,342,8.2399263381958,41.505225406527565,True,75,50,100,3
50.0,50,50,335,7.663591384887695,43.713186569498866,True,77,50,100,4
50.0,50,50,260,5.850846529006958,44.438014005492775,True,75,33,100,5
50.0,50,50,337,8.767157077789307,38.43891434929972,True,76,50,100,6
50.0,50,50,334,15.12299108505249,22.085578052752037,True,76,50,100,7
50.0,50,50,332,14.439862728118896,22.991908320118092,True,75,50,100,8
50.0,50,50,338,14.785001754760742,22.86100506489048,True,76,50,100,9
50.0,50,50,332,9.55190134048462,34.75747792670939,True,75,51,100,10
60.0,40,60,331,8.792454957962036,37.64591363647099,True,75,58,100,1
60.0,40,60,326,8.30135726928711,39.27068663893269,True,77,56,100,2
60.0,40,60,328,8.329786539077759,39.376759351664596,True,75,55,100,3
60.0,40,60,329,8.003781080245972,41.10557206668241,True,76,51,100,4
60.0,40,60,337,8.249181985855103,40.8525355093214,True,76,51,100,5
60.0,40,60,338,8.216121912002563,41.138630076341855,True,75,50,100,6
60.0,40,60,335,8.407816171646118,39.843877787162924,True,76,50,100,7
60.0,40,60,334,8.406548023223877,39.730933443464984,True,75,51,100,8
60.0,40,60,335,8.429737567901611,39.740264427163005,True,75,58,100,9
60.0,40,60,337,8.225529909133911,40.97000481704937,True,75,50,100,10
70.0,30,70,334,8.821393966674805,37.8624967053705,True,75,50,100,1
70.0,30,70,337,8.759729862213135,38.4715060054212,True,75,50,100,2
70.0,30,70,335,8.538493871688843,39.234085663604255,True,76,50,100,3
70.0,30,70,329,8.417826175689697,39.083724602218226,True,76,50,100,4
70.0,30,70,335,8.940866947174072,37.46840233495288,True,76,50,100,5
70.0,30,70,328,8.470010042190552,38.724865539258694,True,76,50,100,6
70.0,30,70,331,8.606198787689209,38.46065006928274,True,76,51,100,7
70.0,30,70,344,8.852403163909912,38.859504434055026,True,75,50,100,8
70.0,30,70,332,8.518975496292114,38.97182239161306,True,76,50,100,9
70.0,30,70,320,9.33799695968628,34.26859115305931,True,76,62,100,10
80.0,20,80,324,8.93795919418335,36.24988579169761,True,75,50,100,1
80.0,20,80,332,9.189327478408813,36.128868057000375,True,77,50,100,2
80.0,20,80,329,8.895352125167847,36.98560724416428,True,76,50,100,3
80.0,20,80,335,9.348397970199585,35.83501698022467,True,77,50,100,4
80.0,20,80,340,9.183921098709106,37.021223978915764,True,75,50,100,5
80.0,20,80,334,8.920979976654053,37.4398329414558,True,78,50,100,6
80.0,20,80,331,8.868516683578491,37.323039670534826,True,75,50,100,7
80.0,20,80,324,12.087929725646973,26.80359725392586,True,75,65,100,8
80.0,20,80,339,11.282812595367432,30.045699787585654,True,75,50,100,9
80.0,20,80,345,10.743890285491943,32.11127355478231,True,75,50,100,10
90.0,10,90,332,11.697346448898315,28.382505506731277,True,75,50,100,1
90.0,10,90,345,11.611216068267822,29.712650076579582,True,76,50,100,2
90.0,10,90,327,10.900414228439331,29.998859965050915,True,75,50,100,3
90.0,10,90,336,11.018531084060669,30.494082871541316,True,75,50,100,4
90.0,10,90,343,11.227882146835327,30.548949081788983,True,75,51,100,5
90.0,10,90,334,10.47236156463623,31.893474832636937,True,76,53,100,6
90.0,10,90,331,10.719067335128784,30.8795522643317,True,75,50,100,7
90.0,10,90,332,11.578808784484863,28.67307044960157,True,75,50,100,8
90.0,10,90,332,11.095227718353271,29.92277476656195,True,75,50,100,9
90.0,10,90,335,11.27540397644043,29.71068714699456,True,78,50,100,10
100.0,0,100,331,11.292721271514893,29.31091559258835,True,75,50,100,1
100.0,0,100,343,10.901092052459717,31.46473750972552,True,75,50,100,2
100.0,0,100,331,10.708853960037231,30.909003076819364,True,76,50,100,3
100.0,0,100,339,10.447957515716553,32.44653316115158,True,75,50,100,4
100.0,0,100,331,10.337478876113892,32.019412466691385,True,75,50,100,5
100.0,0,100,340,11.265914678573608,30.179529110640114,True,76,50,100,6
100.0,0,100,339,10.577540636062622,32.04903783061137,True,76,50,100,7
100.0,0,100,331,10.269601345062256,32.23104664711729,True,75,50,100,8
100.0,0,100,349,10.868386268615723,32.11148291699897,True,75,50,100,9
100.0,0,100,332,10.20698356628418,32.52674973404151,True,77,50,100,10
